Fecha y hora,Dato
06/28/2017 12:53:44,353
06/28/2017 12:53:44,350
06/28/2017 12:53:45,344
06/28/2017 12:53:46,345
06/28/2017 12:53:46,344
06/28/2017 12:53:47,352
06/28/2017 12:53:47,343
06/28/2017 12:53:48,333
06/28/2017 12:53:48,351
06/28/2017 12:53:49,335
06/28/2017 12:53:49,349
06/28/2017 12:53:50,349
06/28/2017 12:53:50,345
06/28/2017 12:53:51,339
06/28/2017 12:53:52,334
06/28/2017 12:53:52,333
06/28/2017 12:53:53,335
06/28/2017 12:53:54,328
06/28/2017 12:53:54,336
06/28/2017 12:53:55,340
06/28/2017 12:53:55,348
06/28/2017 12:53:56,343
06/28/2017 12:53:57,348
06/28/2017 12:53:57,347
06/28/2017 12:53:57,347
06/28/2017 12:53:58,335
06/28/2017 12:53:58,689
06/28/2017 12:53:59,1023
06/28/2017 12:53:59,991
06/28/2017 12:54:00,918
06/28/2017 12:54:00,161
06/28/2017 12:54:01,1023
06/28/2017 12:54:01,114
06/28/2017 12:54:02,0
06/28/2017 12:54:02,1023
06/28/2017 12:54:03,985
06/28/2017 12:54:04,907
06/28/2017 12:54:04,0
06/28/2017 12:54:05,1023
06/28/2017 12:54:05,986
06/28/2017 12:54:06,871
06/28/2017 12:54:06,858
06/28/2017 12:54:07,818
06/28/2017 12:54:07,756
06/28/2017 12:54:07,688
06/28/2017 12:54:08,640
06/28/2017 12:54:08,613
06/28/2017 12:54:09,581
06/28/2017 12:54:09,527
06/28/2017 12:54:10,501
06/28/2017 12:54:10,457
06/28/2017 12:54:11,448
06/28/2017 12:54:11,427
06/28/2017 12:54:12,407
06/28/2017 12:54:12,376
06/28/2017 12:54:13,367
06/28/2017 12:54:14,354
06/28/2017 12:54:14,352
06/28/2017 12:54:14,352
06/28/2017 12:54:15,350
06/28/2017 12:54:15,341
06/28/2017 12:54:16,356
06/28/2017 12:54:16,338
06/28/2017 12:54:17,339
06/28/2017 12:54:17,355
06/28/2017 12:54:18,336
06/28/2017 12:54:18,336
06/28/2017 12:54:19,355
06/28/2017 12:54:19,345
06/28/2017 12:54:20,142
06/28/2017 12:54:20,0
06/28/2017 12:54:21,1013
06/28/2017 12:54:21,177
06/28/2017 12:54:22,267
06/28/2017 12:54:22,290
06/28/2017 12:54:23,300
06/28/2017 12:54:24,321
06/28/2017 12:54:24,331
06/28/2017 12:54:25,319
06/28/2017 12:54:25,323
